date	open	high	low	close	volume
2006-11-08	6.0000	6.2300	5.4000	6.1000	1572395
2006-11-09	6.1400	6.2000	6.0900	6.1500	278056
2006-11-10	6.1500	6.1900	6.0800	6.1400	38823
2006-11-13	6.1400	6.1500	6.0000	6.1000	76611
2006-11-14	6.2500	6.2500	6.0000	6.0300	13194
2006-11-15	6.1400	6.1500	6.0000	6.0000	32951
2006-11-16	6.0010	6.0500	5.9200	6.0000	6988
2006-11-17	6.0500	6.0500	5.6710	5.8700	131000
2006-11-20	5.8100	6.0400	5.8000	5.8100	7100
2006-11-21	6.0500	6.0500	5.7500	6.0000	2178
2006-11-22	6.0000	6.0000	6.0000	6.0000	100
2006-11-24	5.9990	6.0000	5.9990	6.0000	200
2006-11-27	6.0000	6.0000	5.7500	5.7500	15790
2006-11-28	5.9900	5.9900	5.7500	5.7500	5400
2006-11-29	5.9600	5.9800	5.7500	5.7500	7947
2006-11-30	5.7500	5.7500	5.5000	5.5000	39131
2006-12-01	5.5000	5.7500	5.3500	5.7500	11826
2006-12-04	5.9900	5.9900	5.5000	5.5000	1300
2006-12-05	5.5000	5.5100	5.5000	5.5100	9150
2006-12-06	5.5000	5.5100	5.3500	5.5000	6400
2006-12-07	5.5000	5.5000	5.0300	5.4100	21962
2006-12-08	5.4100	5.5000	5.1200	5.3000	17363
2006-12-11	5.2500	5.2600	5.2500	5.2600	1012
2006-12-12	5.3500	5.5000	5.2600	5.2600	6120
2006-12-13	5.3216	5.4200	5.3216	5.4200	1200
2006-12-14	5.5200	5.5200	5.5200	5.5200	106
2006-12-15	5.2500	6.0000	5.1900	5.5100	11452
2006-12-18	5.3500	5.3600	4.7500	4.8000	48091
2006-12-19	4.8000	4.8000	4.3600	4.6400	11206
2006-12-20	4.5000	4.6500	4.2700	4.5000	15099
2006-12-21	4.6000	4.8500	3.7600	4.8500	70699
2006-12-22	4.9500	4.9500	4.4300	4.4800	5298
2006-12-26	4.3500	4.3500	3.9100	4.2500	68936
2006-12-27	4.4900	4.4999	4.2480	4.2500	11335
2006-12-28	4.2400	4.6700	4.0100	4.4700	11646
2006-12-29	4.6500	5.0400	4.3600	4.8300	229291
2007-01-03	5.0000	5.1000	4.2200	4.5000	19953
2007-01-04	4.5000	4.5000	4.1000	4.2500	36650
2007-01-05	4.3500	4.3500	4.0500	4.2000	83100
2007-01-08	4.1200	4.2500	4.0000	4.0300	40808
2007-01-09	4.0000	4.2500	4.0000	4.1500	1401
2007-01-10	4.1000	4.2500	3.9000	3.9300	25723
2007-01-11	3.8800	3.9200	3.8800	3.9200	360
2007-01-12	4.1400	4.1400	3.9800	3.9800	10250
2007-01-16	4.0000	4.0500	3.9800	3.9800	24227
2007-01-17	3.9800	4.0400	3.9800	3.9900	12900
2007-01-18	3.9800	4.0000	3.9700	3.9700	19730
2007-01-19	3.9600	3.9799	3.9600	3.9799	30500
2007-01-22	3.9900	4.2300	3.8900	3.8900	275692
2007-01-23	3.9500	3.9600	3.9500	3.9600	7900
2007-01-24	4.0000	4.0000	3.8000	3.8000	4700
2007-01-25	3.7000	4.0000	3.6800	4.0000	3575
2007-01-26	4.0000	4.6400	3.9500	3.9500	50096
2007-01-29	4.0900	4.5500	3.8100	4.2400	22049
2007-01-30	4.8000	5.3100	4.3700	5.2300	120782
2007-01-31	5.8500	6.5100	5.5300	6.3800	612119
2007-02-01	7.3900	7.4300	6.5000	6.8300	239025
2007-02-02	6.8500	6.8500	5.5100	5.7000	154896
2007-02-05	5.9400	6.0499	5.7000	5.8500	49352
2007-02-06	5.7500	5.7500	5.4500	5.5500	52643
2007-02-07	5.7000	5.7100	5.3500	5.4146	37356
2007-02-08	5.4100	5.4900	5.2300	5.2500	35966
2007-02-09	5.2700	5.4700	4.7800	4.7900	46591
2007-02-12	4.8200	5.0700	4.7800	4.9900	22384
2007-02-13	4.9600	5.1000	4.7800	4.7800	56980
2007-02-14	5.0600	5.0600	4.6000	4.7000	33521
2007-02-15	4.6600	4.9000	4.5500	4.6100	14395
2007-02-16	4.6500	4.7300	4.4900	4.6000	9129
2007-02-20	4.6000	4.8200	4.6000	4.6300	9025
2007-02-21	4.8600	4.8600	4.4000	4.6300	10887
2007-02-22	4.7000	4.7500	4.6500	4.6500	7955
