date	open	high	low	close	volume
2021-08-13	3.9500	4.1400	3.3100	3.4200	5543620
2021-08-16	3.7000	4.0500	3.5100	3.7800	3287456
2021-08-17	3.7300	4.0300	3.5800	3.8600	1947788
2021-08-18	3.8669	4.3000	3.6500	4.0400	2668276
2021-08-19	4.0500	5.3600	3.8300	4.9200	16912355
2021-08-20	5.0600	6.3000	4.5200	6.2000	7906797
2021-08-23	5.9664	7.2200	5.8000	6.9700	11775904
2021-08-24	6.9100	7.9100	6.0200	6.0800	10513187
2021-08-25	6.0800	6.7700	5.9600	6.5200	2182902
2021-08-26	6.5100	7.2400	6.4500	6.8400	2316966
2021-08-27	6.9000	8.6700	6.8200	8.5000	6503285
2021-08-30	8.5459	8.5800	7.0400	7.3700	3277757
2021-08-31	7.6300	8.1000	7.3807	7.6200	1969059
2021-09-01	7.6500	7.7400	7.1000	7.3900	1834198
2021-09-02	7.5000	8.1800	7.2500	8.0800	3794565
2021-09-03	8.0600	8.8000	7.6300	7.7500	4615583
2021-09-07	7.8000	7.8500	6.4300	7.1600	3045171
2021-09-08	7.0600	7.1200	6.5600	6.9100	1614562
2021-09-09	6.6600	6.9600	6.6100	6.7600	875460
2021-09-10	6.6900	6.8500	6.1600	6.3100	1766491
2021-09-13	6.3000	6.8000	6.0100	6.5400	2220074
2021-09-14	7.0900	8.3599	6.9000	7.4000	18172084
2021-09-15	7.1900	7.3700	6.8300	7.1700	2438139
2021-09-16	7.0400	7.7000	6.8000	7.6800	3596665
2021-09-17	8.0900	9.1300	7.3500	7.3500	16531451
2021-09-20	7.1000	8.0700	7.0000	7.5400	5259342
2021-09-21	7.6200	8.0500	7.3500	7.8000	3368958
2021-09-22	7.8600	8.9300	7.8500	8.5500	11615271
2021-09-23	8.3100	10.3900	7.8800	10.2900	19234087
2021-09-24	9.9800	12.1900	9.6800	10.9900	22569663
2021-09-27	10.7000	12.4300	10.6062	11.5300	11621319
2021-09-28	11.3500	14.6400	10.7100	14.6100	28911392
2021-09-29	14.1700	18.5000	12.4227	12.9300	53669804
2021-09-30	14.3300	14.7900	12.9200	13.6500	18243818
2021-10-01	13.6000	13.6700	10.9200	11.9300	8886871
2021-10-04	12.0000	12.9000	11.3000	11.6900	6074904
2021-10-05	11.8224	12.0800	7.3800	8.9000	27974794
2021-10-06	8.0800	8.4500	7.1400	7.3600	11199963
2021-10-07	8.0700	8.9500	7.8700	8.0400	15318029
2021-10-08	8.8200	11.9100	8.2200	11.7200	66661024
