date	open	high	low	close	volume
2018-07-25	15.0500	19.3000	15.0200	16.0500	3143955
2018-07-26	16.2000	16.6648	15.0000	15.8500	469659
2018-07-27	16.1700	16.1950	15.0500	15.1800	294385
2018-07-30	15.1000	15.3200	15.0600	15.0600	34147
2018-07-31	15.0600	15.4172	15.0000	15.0400	169307
2018-08-01	15.0000	15.4200	14.7510	15.1000	102473
2018-08-02	15.0700	15.1000	15.0000	15.0200	77357
2018-08-03	15.0000	15.6233	15.0000	15.0100	31680
2018-08-06	15.0200	15.8600	15.0000	15.0000	75193
2018-08-07	15.1000	15.1870	15.0000	15.0100	113994
2018-08-08	15.0100	15.2600	15.0000	15.0600	219442
2018-08-09	15.0800	15.2400	15.0000	15.0600	199603
2018-08-10	15.0300	16.0000	15.0300	15.6800	76366
2018-08-13	16.6673	16.6673	15.7000	16.1700	44753
2018-08-14	16.7600	16.8300	16.1700	16.5300	54939
2018-08-15	16.8500	16.8500	15.9201	16.4600	33307
2018-08-16	16.5900	16.8000	15.5000	16.1000	63410
2018-08-17	16.1500	16.2500	15.0347	16.0000	53086
2018-08-20	16.2500	16.3600	15.7500	15.9600	158249
2018-08-21	16.0800	16.1862	15.7500	15.8400	78661
2018-08-22	16.0000	16.3650	15.9000	15.9700	88417
2018-08-23	16.0000	16.2500	15.2500	15.9300	169285
2018-08-24	15.8500	16.0000	15.6500	15.7300	63379
2018-08-27	15.7300	15.9540	15.3550	15.5100	71414
2018-08-28	15.4000	16.5000	15.4000	16.0200	145802
2018-08-29	16.0200	17.4000	16.0200	16.9000	230843
2018-08-30	17.0000	17.5000	16.5000	17.1800	171226
2018-08-31	16.9900	18.6700	16.9332	18.0100	229024
2018-09-04	17.8200	18.3864	17.2200	17.8900	192048
2018-09-05	18.0000	18.0400	17.2100	17.9600	98525
2018-09-06	17.9800	19.1700	17.9480	18.8800	188821
2018-09-07	18.8900	19.1900	18.3751	18.9600	145642
2018-09-10	19.0900	19.2800	18.5000	18.6700	108761
2018-09-11	18.6100	19.2800	17.8000	18.2800	133348
2018-09-12	18.1900	18.8500	17.5700	18.4700	119102
2018-09-13	18.6100	20.6961	18.0110	18.3100	208614
2018-09-14	18.2700	18.6070	16.5000	16.5200	176741
2018-09-17	16.5500	16.9750	15.0300	16.5300	197592
2018-09-18	16.4400	16.6500	15.2300	16.0700	202244
2018-09-19	16.1800	16.5600	15.5400	16.3800	164212
2018-09-20	16.4200	16.7500	15.7700	16.3100	252597
2018-09-21	16.3900	16.7000	15.5700	16.3300	705927
2018-09-24	16.2200	17.3800	15.9600	17.1600	199518
2018-09-25	17.1700	18.0500	17.1700	17.5000	173981
2018-09-26	17.5000	17.6000	17.0000	17.1900	74092
2018-09-27	17.2500	17.4000	16.4400	17.3100	72659
2018-09-28	17.3400	17.7100	16.3100	17.5100	84157
2018-10-01	17.4000	18.3300	16.3750	17.3100	143030
2018-10-02	17.3300	18.0550	17.1790	17.9000	79269
2018-10-03	17.9000	18.0900	17.4550	17.8500	136757
2018-10-04	17.8500	17.9500	16.4000	16.6200	178368
2018-10-05	16.7300	16.8500	15.6750	16.1400	136713
2018-10-08	16.1300	16.8550	15.3900	15.7800	73642
2018-10-09	15.5500	15.9200	14.6700	14.8000	97568
2018-10-10	14.8000	15.1300	13.8100	14.4200	107970
2018-10-11	14.3000	14.3101	13.6100	14.0400	54058
2018-10-12	14.2200	14.9700	14.2200	14.9000	85513
2018-10-15	14.8400	15.2600	14.4500	15.0900	59105
2018-10-16	15.2100	15.5000	14.5050	15.4600	33508
2018-10-17	15.4900	16.2850	15.0700	15.9200	235922
2018-10-18	15.8800	15.9500	14.7700	15.5200	136157
2018-10-19	15.3700	15.8540	14.2900	14.3600	74522
